ProductKey,ProductCode,ProductSubCategory,ProductName,StandardCost,Color,ProductCategory
259,FR-R38B-62,Road Frames,"LL Road Frame - Black, 62",176.1997,Black,PC-Components
397,HB-M243,Handlebars,LL Mountain Handlebars,17.9780,NA,PC-Components
475,SH-W890-M,Shorts,"Women's Mountain Shorts, M",26.1763,Black,PC-Clothing
593,BK-M18S-44,Mountain Bikes,"Mountain-500 Silver, 44",308.2179,Silver,PC-Bikes
273,FR-R38R-62,Road Frames,"LL Road Frame - Red, 62",187.1571,Red,PC-Components
278,FR-R72R-60,Road Frames,"ML Road Frame - Red, 60",352.1394,Red,PC-Components
350,BK-M82B-44,Mountain Bikes,"Mountain-100 Black, 44",1898.0944,Black,PC-Bikes
232,LJ-0192-L,Jerseys,"Long-Sleeve Logo Jersey, L",31.7244,Multi,PC-Clothing
373,BK-R89B-44,Road Bikes,"Road-250 Black, 44",1320.6838,Black,PC-Bikes
227,LJ-0192-S,Jerseys,"Long-Sleeve Logo Jersey, S",29.0807,Multi,PC-Clothing
229,LJ-0192-M,Jerseys,"Long-Sleeve Logo Jersey, M",31.7244,Multi,PC-Clothing
233,LJ-0192-L,Jerseys,"Long-Sleeve Logo Jersey, L",29.0807,Multi,PC-Clothing
495,FR-T98Y-50,Touring Frames,"HL Touring Frame - Yellow, 50",601.7437,Yellow,PC-Components
276,FR-R72R-52,Road Frames,"ML Road Frame - Red, 52",352.1394,Red,PC-Components
310,BK-R93R-62,Road Bikes,"Road-150 Red, 62",2171.2942,Red,PC-Bikes
398,HB-M243,Handlebars,LL Mountain Handlebars,19.7758,NA,PC-Components
493,FR-T67Y-62,Touring Frames,"LL Touring Frame - Yellow, 62",199.8519,Yellow,PC-Components
435,FR-R72Y-48,Road Frames,"ML Road Frame-W - Yellow, 48",300.1188,Yellow,PC-Components
443,FR-R92B-52,Road Frames,"HL Road Frame - Black, 52",722.2568,Black,PC-Components
597,BK-M18B-42,Mountain Bikes,"Mountain-500 Black, 42",294.5797,Black,PC-Bikes
215,HL-U509,Helmets,"Sport-100 Helmet, Black",12.0278,Black,PC-Accessories
272,FR-R38R-62,Road Frames,"LL Road Frame - Red, 62",181.4857,Red,PC-Components
247,FR-R92R-52,Road Frames,"HL Road Frame - Red, 52",747.9682,Red,PC-Components
347,BK-M82S-48,Mountain Bikes,"Mountain-100 Silver, 48",1912.1544,Silver,PC-Bikes
363,BK-M68B-46,Mountain Bikes,"Mountain-200 Black, 46",1251.9813,Black,PC-Bikes
477,WB-H098,Bottles And Cages,Water Bottle - 30 oz.,1.8663,NA,PC-Accessories
586,BK-T18U-50,Touring Bikes,"Touring-3000 Blue, 50",461.4448,Blue,PC-Bikes
352,BK-M68S-38,Mountain Bikes,"Mountain-200 Silver, 38",1117.8559,Silver,PC-Bikes
333,BK-R50B-58,Road Bikes,"Road-650 Black, 58",486.7066,Black,PC-Bikes
269,FR-R38R-58,Road Frames,"LL Road Frame - Red, 58",187.1571,Red,PC-Components
329,BK-R50R-48,Road Bikes,"Road-650 Red, 48",486.7066,Red,PC-Bikes
394,HS-0296,Headsets,LL Headset,15.1848,NA,PC-Components
473,VE-C304-L,Vests,"Classic Vest, L",23.7490,Blue,PC-Clothing
528,TT-M928,Tires And Tubes,Mountain Tire Tube,1.8663,NA,PC-Accessories
556,CS-4759,Cranksets,LL Crankset,77.9176,Black,PC-Components
236,LJ-0192-X,Jerseys,"Long-Sleeve Logo Jersey, XL",29.0807,Multi,PC-Clothing
591,BK-M18S-40,Mountain Bikes,"Mountain-500 Silver, 40",308.2179,Silver,PC-Bikes
407,HB-R956,Handlebars,HL Road Handlebars,48.5453,NA,PC-Components
531,FR-M21B-42,Mountain Frames,"LL Mountain Frame - Black, 42",136.7850,Black,PC-Components
252,FR-R92R-56,Road Frames,"HL Road Frame - Red, 56",868.6342,Red,PC-Components
253,FR-R38B-58,Road Frames,"LL Road Frame - Black, 58",176.1997,Black,PC-Components
442,FR-R92B-48,Road Frames,"HL Road Frame - Black, 48",868.6342,Black,PC-Components
540,TI-R982,Tires And Tubes,HL Road Tire,12.1924,NA,PC-Accessories
590,BK-M38S-46,Mountain Bikes,"Mountain-400-W Silver, 46",419.7784,Silver,PC-Bikes
244,FR-R92R-48,Road Frames,"HL Road Frame - Red, 48",747.9682,Red,PC-Components
338,BK-R50B-44,Road Bikes,"Road-650 Black, 44",413.1463,Black,PC-Bikes
483,RA-H123,Bike Racks,Hitch Rack - 4-Bike,44.8800,NA,PC-Accessories
302,FR-M94B-46,Mountain Frames,"HL Mountain Frame - Black, 46",653.6971,Black,PC-Components
567,BK-T18U-62,Touring Bikes,"Touring-3000 Blue, 62",461.4448,Blue,PC-Bikes
468,GL-F110-S,Gloves,"Full-Finger Gloves, S",15.6709,Black,PC-Clothing
579,BK-T44U-54,Touring Bikes,"Touring-2000 Blue, 54",755.1508,Blue,PC-Bikes
584,BK-R19B-58,Road Bikes,"Road-750 Black, 58",343.6496,Black,PC-Bikes
411,FW-M762,Wheels,ML Mountain Front Wheel,92.8071,Black,PC-Components
374,BK-R89B-44,Road Bikes,"Road-250 Black, 44",1554.9479,Black,PC-Bikes
481,SO-R809-M,Socks,"Racing Socks, M",3.3623,White,PC-Clothing
312,BK-R93R-48,Road Bikes,"Road-150 Red, 48",2171.2942,Red,PC-Bikes
379,BK-R89B-58,Road Bikes,"Road-250 Black, 58",1320.6838,Black,PC-Bikes
399,HB-M763,Handlebars,ML Mountain Handlebars,24.9932,NA,PC-Components
434,FR-R72Y-44,Road Frames,"ML Road Frame-W - Yellow, 44",360.9428,Yellow,PC-Components
463,GL-H102-S,Gloves,"Half-Finger Gloves, S",9.1593,Black,PC-Clothing
566,BK-T18U-58,Touring Bikes,"Touring-3000 Blue, 58",461.4448,Blue,PC-Bikes
222,HL-U509-B,Helmets,"Sport-100 Helmet, Blue",13.0863,Blue,PC-Accessories
237,LJ-0192-X,Jerseys,"Long-Sleeve Logo Jersey, XL",38.4923,Multi,PC-Clothing
263,FR-R38R-44,Road Frames,"LL Road Frame - Red, 44",187.1571,Red,PC-Components
264,FR-R38R-48,Road Frames,"LL Road Frame - Red, 48",181.4857,Red,PC-Components
246,FR-R92R-48,Road Frames,"HL Road Frame - Red, 48",868.6342,Red,PC-Components
368,BK-R89R-44,Road Bikes,"Road-250 Red, 44",1518.7864,Red,PC-Bikes
376,BK-R89B-48,Road Bikes,"Road-250 Black, 48",1554.9479,Black,PC-Bikes
589,BK-M38S-42,Mountain Bikes,"Mountain-400-W Silver, 42",419.7784,Silver,PC-Bikes
603,BB-9108,Bottom Brackets,HL Bottom Bracket,53.9416,NA,PC-Components
400,HB-M763,Handlebars,ML Mountain Handlebars,27.4925,NA,PC-Components
514,RB-9231,Brakes,Rear Brakes,47.2860,Silver,PC-Components
602,BB-8107,Bottom Brackets,ML Bottom Bracket,44.9506,NA,PC-Components
230,LJ-0192-M,Jerseys,"Long-Sleeve Logo Jersey, M",29.0807,Multi,PC-Clothing
275,FR-R72R-48,Road Frames,"ML Road Frame - Red, 48",352.1394,Red,PC-Components
281,FR-R38B-44,Road Frames,"LL Road Frame - Black, 44",204.6251,Black,PC-Components
291,FR-M94S-44,Mountain Frames,"HL Mountain Frame - Silver, 44",706.8110,Silver,PC-Components
341,BK-R50B-48,Road Bikes,"Road-650 Black, 48",486.7066,Black,PC-Bikes
365,BK-M47B-40,Mountain Bikes,"Mountain-300 Black, 40",598.4354,Black,PC-Bikes
550,FR-M21B-40,Mountain Frames,"LL Mountain Frame - Black, 40",136.7850,Black,PC-Components
279,FR-R38B-44,Road Frames,"LL Road Frame - Black, 44",176.1997,Black,PC-Components
595,BK-M18S-52,Mountain Bikes,"Mountain-500 Silver, 52",308.2179,Silver,PC-Bikes
308,FR-M94S-38,Mountain Frames,"HL Mountain Frame - Silver, 38",660.9142,Silver,PC-Components
364,BK-M47B-38,Mountain Bikes,"Mountain-300 Black, 38",598.4354,Black,PC-Bikes
513,FR-M63S-46,Mountain Frames,"ML Mountain Frame-W - Silver, 46",199.3757,Silver,PC-Components
292,FR-M94S-52,Mountain Frames,"HL Mountain Frame - Silver, 48",706.8110,Silver,PC-Components
461,SB-M891-L,Bib-shorts,"Men's Bib-Shorts, L",37.1209,Multi,PC-Clothing
293,FR-M94S-46,Mountain Frames,"HL Mountain Frame - Silver, 46",623.8403,Silver,PC-Components
465,GL-H102-M,Gloves,"Half-Finger Gloves, M",9.1593,Black,PC-Clothing
212,HL-U509-R,Helmets,"Sport-100 Helmet, Red",12.0278,Red,PC-Accessories
549,FR-M63S-38,Mountain Frames,"ML Mountain Frame-W - Silver, 38",199.3757,Silver,PC-Components
501,RD-2308,Derailleurs,Rear Derailleur,53.9282,Silver,PC-Components
469,GL-F110-M,Gloves,"Full-Finger Gloves, M",15.6709,Black,PC-Clothing
320,BK-R50R-58,Road Bikes,"Road-650 Red, 58",413.1463,Red,PC-Bikes
512,FR-M63S-42,Mountain Frames,"ML Mountain Frame-W - Silver, 42",199.3757,Silver,PC-Components
349,BK-M82B-42,Mountain Bikes,"Mountain-100 Black, 42",1898.0944,Black,PC-Bikes
370,BK-R89R-52,Road Bikes,"Road-250 Red, 52",1518.7864,Red,PC-Bikes
369,BK-R89R-48,Road Bikes,"Road-250 Red, 48",1518.7864,Red,PC-Bikes
498,FR-T98U-50,Touring Frames,"HL Touring Frame - Blue, 50",601.7437,Blue,PC-Components
505,FR-T67U-62,Touring Frames,"LL Touring Frame - Blue, 62",199.8519,Blue,PC-Components
573,BK-T79U-46,Touring Bikes,"Touring-1000 Blue, 46",1481.9379,Blue,PC-Bikes
504,FR-T67U-58,Touring Frames,"LL Touring Frame - Blue, 58",199.8519,Blue,PC-Components
343,BK-R50B-52,Road Bikes,"Road-650 Black, 52",486.7066,Black,PC-Bikes
494,FR-T98Y-46,Touring Frames,"HL Touring Frame - Yellow, 46",601.7437,Yellow,PC-Components
563,BK-T79Y-54,Touring Bikes,"Touring-1000 Yellow, 54",1481.9379,Yellow,PC-Bikes
455,SH-M897-X,Shorts,"Men's Sports Shorts, XL",24.7459,Black,PC-Clothing
486,ST-1401,Bike Stands,All-Purpose Bike Stand,59.4660,NA,PC-Accessories
345,BK-M82S-42,Mountain Bikes,"Mountain-100 Silver, 42",1912.1544,Silver,PC-Bikes
358,BK-M68B-38,Mountain Bikes,"Mountain-200 Black, 38",1105.8100,Black,PC-Bikes
449,PU-M044,Pumps,Mountain Pump,10.3084,NA,PC-Accessories
604,BK-R19B-44,Road Bikes,"Road-750 Black, 44",343.6496,Black,PC-Bikes
311,BK-R93R-44,Road Bikes,"Road-150 Red, 44",2171.2942,Red,PC-Bikes
418,FR-R72Y-38,Road Frames,"ML Road Frame-W - Yellow, 38",360.9428,Yellow,PC-Components
429,FR-R72Y-40,Road Frames,"ML Road Frame-W - Yellow, 40",300.1188,Yellow,PC-Components
325,BK-R50R-62,Road Bikes,"Road-650 Red, 62",486.7066,Red,PC-Bikes
380,BK-R89B-58,Road Bikes,"Road-250 Black, 58",1554.9479,Black,PC-Bikes
258,FR-R38B-60,Road Frames,"LL Road Frame - Black, 60",204.6251,Black,PC-Components
410,FW-M423,Wheels,LL Mountain Front Wheel,26.9708,Black,PC-Components
424,RW-R820,Wheels,HL Road Rear Wheel,158.5346,Black,PC-Components
421,RW-M928,Wheels,HL Mountain Rear Wheel,145.2835,Black,PC-Components
555,FB-9873,Brakes,Front Brakes,47.2860,Silver,PC-Components
266,FR-R38R-52,Road Frames,"LL Road Frame - Red, 52",181.4857,Red,PC-Components
289,FR-M94S-42,Mountain Frames,"HL Mountain Frame - Silver, 42",660.9142,Silver,PC-Components
532,FR-M21B-44,Mountain Frames,"LL Mountain Frame - Black, 44",136.7850,Black,PC-Components
342,BK-R50B-52,Road Bikes,"Road-650 Black, 52",413.1463,Black,PC-Bikes
492,FR-T98Y-60,Touring Frames,"HL Touring Frame - Yellow, 60",601.7437,Yellow,PC-Components
499,FR-T98U-54,Touring Frames,"HL Touring Frame - Blue, 54",601.7437,Blue,PC-Components
519,SE-R908,Saddles,ML Road Seat/Saddle,17.3782,NA,PC-Components
538,TI-R092,Tires And Tubes,LL Road Tire,8.0373,NA,PC-Accessories
235,LJ-0192-X,Jerseys,"Long-Sleeve Logo Jersey, XL",31.7244,Multi,PC-Clothing
377,BK-R89B-52,Road Bikes,"Road-250 Black, 52",1320.6838,Black,PC-Bikes
507,FR-T67Y-50,Touring Frames,"LL Touring Frame - Yellow, 50",199.8519,Yellow,PC-Components
271,FR-R38R-60,Road Frames,"LL Road Frame - Red, 60",187.1571,Red,PC-Components
294,FR-M94S-46,Mountain Frames,"HL Mountain Frame - Silver, 46",660.9142,Silver,PC-Components
447,LO-C100,Locks,Cable Lock,10.3125,NA,PC-Accessories
260,FR-R38B-62,Road Frames,"LL Road Frame - Black, 62",170.1428,Black,PC-Components
420,RW-M762,Wheels,ML Mountain Rear Wheel,104.7951,Black,PC-Components
428,FR-M63B-48,Mountain Frames,"ML Mountain Frame - Black, 48",185.8193,Black,PC-Components
445,SH-M897-S,Shorts,"Men's Sports Shorts, S",24.7459,Black,PC-Clothing
564,BK-T79Y-60,Touring Bikes,"Touring-1000 Yellow, 60",1481.9379,Yellow,PC-Bikes
581,BK-R79Y-42,Road Bikes,"Road-350-W Yellow, 42",1082.5100,Yellow,PC-Bikes
391,FK-1639,Forks,LL Fork,65.8097,NA,PC-Components
396,HS-3479,Headsets,HL Headset,55.3801,NA,PC-Components
414,FW-R762,Wheels,ML Road Front Wheel,110.2829,Black,PC-Components
351,BK-M82B-48,Mountain Bikes,"Mountain-100 Black, 48",1898.0944,Black,PC-Bikes
524,FR-M21S-42,Mountain Frames,"LL Mountain Frame - Silver, 42",144.5938,Silver,PC-Components
547,PD-R853,Pedals,HL Road Pedal,35.9596,Silver/Black,PC-Components
318,BK-R68R-48,Road Bikes,"Road-450 Red, 48",884.7083,Red,PC-Bikes
392,FK-5136,Forks,ML Fork,77.9176,NA,PC-Components
238,FR-R92R-62,Road Frames,"HL Road Frame - Red, 62",747.9682,Red,PC-Components
307,FR-M94S-38,Mountain Frames,"HL Mountain Frame - Silver, 38",623.8403,Silver,PC-Components
506,FR-T67Y-44,Touring Frames,"LL Touring Frame - Yellow, 44",199.8519,Yellow,PC-Components
508,FR-T67Y-54,Touring Frames,"LL Touring Frame - Yellow, 54",199.8519,Yellow,PC-Components
316,BK-R68R-60,Road Bikes,"Road-450 Red, 60",884.7083,Red,PC-Bikes
331,BK-R50R-52,Road Bikes,"Road-650 Red, 52",486.7066,Red,PC-Bikes
592,BK-M18S-42,Mountain Bikes,"Mountain-500 Silver, 42",308.2179,Silver,PC-Bikes
282,FR-R38B-48,Road Frames,"LL Road Frame - Black, 48",176.1997,Black,PC-Components
560,BK-T44U-60,Touring Bikes,"Touring-2000 Blue, 60",755.1508,Blue,PC-Bikes
231,LJ-0192-M,Jerseys,"Long-Sleeve Logo Jersey, M",38.4923,Multi,PC-Clothing
357,BK-M68S-46,Mountain Bikes,"Mountain-200 Silver, 46",1265.6195,Silver,PC-Bikes
367,BK-M47B-48,Mountain Bikes,"Mountain-300 Black, 48",598.4354,Black,PC-Bikes
277,FR-R72R-58,Road Frames,"ML Road Frame - Red, 58",352.1394,Red,PC-Components
362,BK-M68B-46,Mountain Bikes,"Mountain-200 Black, 46",1105.8100,Black,PC-Bikes
416,FW-T905,Wheels,Touring Front Wheel,96.7964,Black,PC-Components
544,PD-M562,Pedals,HL Mountain Pedal,35.9596,Silver/Black,PC-Components
575,BK-T79U-54,Touring Bikes,"Touring-1000 Blue, 54",1481.9379,Blue,PC-Bikes
340,BK-R50B-48,Road Bikes,"Road-650 Black, 48",413.1463,Black,PC-Bikes
496,FR-T98Y-54,Touring Frames,"HL Touring Frame - Yellow, 54",601.7437,Yellow,PC-Components
385,BK-R64Y-42,Road Bikes,"Road-550-W Yellow, 42",605.6492,Yellow,PC-Bikes
456,TG-W091-S,Tights,"Women's Tights, S",30.9334,Black,PC-Clothing
484,CL-9009,Cleaners,Bike Wash - Dissolver,2.9733,NA,PC-Accessories
213,HL-U509-R,Helmets,"Sport-100 Helmet, Red",13.8782,Red,PC-Accessories
255,FR-R38B-58,Road Frames,"LL Road Frame - Black, 58",204.6251,Black,PC-Components
386,BK-R64Y-42,Road Bikes,"Road-550-W Yellow, 42",713.0798,Yellow,PC-Bikes
497,FR-T98U-46,Touring Frames,"HL Touring Frame - Blue, 46",601.7437,Blue,PC-Components
480,PK-7098,Tires And Tubes,Patch Kit/8 Patches,0.8565,NA,PC-Accessories
548,PD-T852,Pedals,Touring Pedal,35.9596,Silver/Black,PC-Components
551,FR-M21S-40,Mountain Frames,"LL Mountain Frame - Silver, 40",144.5938,Silver,PC-Components
359,BK-M68B-38,Mountain Bikes,"Mountain-200 Black, 38",1251.9813,Black,PC-Bikes
488,SJ-0194-S,Jerseys,"Short-Sleeve Classic Jersey, S",41.5723,Yellow,PC-Clothing
557,CS-6583,Cranksets,ML Crankset,113.8816,Black,PC-Components
261,FR-R38B-62,Road Frames,"LL Road Frame - Black, 62",204.6251,Black,PC-Components
439,FR-R92B-44,Road Frames,"HL Road Frame - Black, 44",722.2568,Black,PC-Components
516,SE-M798,Saddles,ML Mountain Seat/Saddle,17.3782,NA,PC-Components
542,PD-M282,Pedals,LL Mountain Pedal,17.9776,Silver/Black,PC-Components
577,BK-T44U-46,Touring Bikes,"Touring-2000 Blue, 46",755.1508,Blue,PC-Bikes
280,FR-R38B-44,Road Frames,"LL Road Frame - Black, 44",170.1428,Black,PC-Components
361,BK-M68B-42,Mountain Bikes,"Mountain-200 Black, 42",1251.9813,Black,PC-Bikes
450,LT-T990,Lights,Taillights - Battery-Powered,5.7709,NA,PC-Accessories
546,PD-R563,Pedals,ML Road Pedal,27.5680,Silver/Black,PC-Components
605,BK-R19B-48,Road Bikes,"Road-750 Black, 48",343.6496,Black,PC-Bikes
256,FR-R38B-60,Road Frames,"LL Road Frame - Black, 60",176.1997,Black,PC-Components
536,TI-M602,Tires And Tubes,ML Mountain Tire,11.2163,NA,PC-Accessories
327,BK-R50R-44,Road Bikes,"Road-650 Red, 44",486.7066,Red,PC-Bikes
431,FR-R72Y-42,Road Frames,"ML Road Frame-W - Yellow, 42",300.1188,Yellow,PC-Components
217,HL-U509,Helmets,"Sport-100 Helmet, Black",13.0863,Black,PC-Accessories
